sensor_id,reading_timestamp,reading_pressure
1,3-Jun-25,200.34
1,4-Jun-25,197.35
1,5-Jun-25,198.05
1,6-Jun-25,202.98
1,7-Jun-25,200.76
1,8-Jun-25,218.73
1,9-Jun-25,277.42
1,10-Jun-25,216.5
1,11-Jun-25,202.65
1,12-Jun-25,201.02
1,13-Jun-25,219.48
1,14-Jun-25,400.21
1,15-Jun-25,642.32
1,16-Jun-25,299.93
1,17-Jun-25,252.87
1,18-Jun-25,258
1,19-Jun-25,232.22
1,20-Jun-25,225.01
1,21-Jun-25,219.08
1,22-Jun-25,213.45
1,23-Jun-25,214.81
1,24-Jun-25,217.12
1,25-Jun-25,383.83
1,26-Jun-25,294.12
1,27-Jun-25,243.76
1,28-Jun-25,219.93
1,29-Jun-25,214.88
1,30-Jun-25,212.93
1,1-Jul-25,233.37
1,2-Jul-25,222.49
1,3-Jul-25,212.48
1,4-Jul-25,210.77
1,5-Jul-25,207.17
1,6-Jul-25,201.12
1,7-Jul-25,203.58
1,8-Jul-25,205.55
1,9-Jul-25,321.83
1,10-Jul-25,617.32
1,11-Jul-25,339.98
1,12-Jul-25,473.88
1,13-Jul-25,289.11
1,14-Jul-25,254.88
1,15-Jul-25,238.9
1,16-Jul-25,226.04
1,17-Jul-25,271.38
1,18-Jul-25,417.96
1,19-Jul-25,536.65
1,20-Jul-25,363.62
1,21-Jul-25,313.77
1,22-Jul-25,274.77
1,23-Jul-25,593.66
1,24-Jul-25,307.16
1,25-Jul-25,275.36
1,26-Jul-25,251.11
1,27-Jul-25,220.22
1,28-Jul-25,217.02
1,29-Jul-25,303.23
1,30-Jul-25,239.98
1,31-Jul-25,356.39
1,1-Aug-25,292.02
1,2-Aug-25,257.28
1,3-Aug-25,242.56
1,4-Aug-25,232.75
1,5-Aug-25,226.28
1,6-Aug-25,224.08
